log_time,image,l_blue,l_green,l_red,l_has_red_eye,r_blue,r_green,r_red,r_has_red_eye,l_compliance_score,r_compliance_score
28/10/2023 16:11:46,../../dataset/valid/N239001014.JPG,186.034965034965,118.72027972027973,84.53846153846153,True,186.93333333333337,114.80833333333332,79.775,True,100.0,100.0
28/10/2023 16:11:46,../../dataset/valid/N230201570.JPG,191.09790209790205,118.37062937062939,89.00000000000001,True,234.9416666666667,173.95000000000002,147.85833333333332,True,100.0,100.0
28/10/2023 16:11:46,../../dataset/valid/N230101709.JPG,23.559440559440556,24.41958041958042,29.09090909090909,True,228.69999999999996,159.35833333333332,130.69166666666666,True,100.0,100.0
28/10/2023 16:11:46,../../dataset/valid/N230701220.JPG,199.07692307692307,154.6433566433566,144.44755244755245,True,220.27500000000006,164.73333333333335,144.80833333333334,True,100.0,100.0
28/10/2023 16:11:46,../../dataset/valid/N230301766.JPG,196.83916083916088,142.66433566433568,115.75524475524477,True,204.05833333333337,146.04999999999998,119.375,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230601354.JPG,199.99300699300693,145.83216783216784,130.90909090909088,True,217.76666666666668,156.35,138.40833333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230601432.JPG,164.8881118881119,106.10489510489512,82.62937062937064,True,186.1833333333333,116.01666666666667,87.59999999999998,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230101669.JPG,176.3006993006993,138.37062937062936,125.75524475524475,True,213.5833333333333,173.43333333333337,161.38333333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230101899.JPG,177.79020979020981,129.83916083916083,114.54545454545456,True,198.29999999999998,142.70000000000002,126.31666666666668,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230601368.JPG,166.41958041958043,124.93706293706295,115.65034965034965,True,219.04999999999998,163.75,137.9666666666667,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231601055.JPG,109.28671328671331,70.72027972027972,48.811188811188806,True,185.23333333333335,139.91666666666669,112.16666666666667,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230101696.JPG,193.13986013986016,129.0979020979021,124.09090909090908,True,214.21666666666667,151.21666666666667,146.21666666666667,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230601630.JPG,192.39860139860141,127.74825174825173,115.38461538461539,True,219.125,153.39166666666668,139.37500000000003,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230501688.JPG,225.72727272727272,177.35664335664336,184.23076923076923,True,228.2833333333334,169.75,165.59166666666667,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231701531.JPG,182.25874125874128,118.34265734265735,80.65034965034965,True,215.0,151.29999999999998,107.33333333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N239001148.JPG,173.8181818181818,130.30769230769232,111.46853146853147,True,185.975,129.92499999999998,105.73333333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230201404.JPG,196.25174825174827,139.86713286713285,132.54545454545453,True,219.45833333333334,155.37500000000003,136.13333333333335,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230201439.JPG,213.89510489510488,164.55944055944053,149.76923076923077,True,245.63333333333335,188.51666666666665,174.85833333333332,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230201405.JPG,215.1118881118881,150.15384615384613,111.33566433566436,True,180.26666666666665,131.62499999999997,109.39166666666667,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231701524.JPG,191.1118881118881,142.71328671328672,129.2097902097902,True,203.6583333333333,150.65833333333333,134.65833333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N238100624.JPG,156.65734265734267,105.86013986013987,85.88811188811191,True,198.64166666666665,143.14166666666668,119.8916666666667,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230101683.JPG,183.53146853146856,126.44755244755244,101.96503496503497,True,210.32499999999996,154.00833333333335,122.89999999999999,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231501013.JPG,210.57342657342662,140.9020979020979,107.65734265734267,True,236.42499999999998,168.04166666666666,134.975,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231501007.JPG,154.2237762237762,89.9230769230769,66.78321678321679,True,190.01666666666668,118.51666666666667,91.33333333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231701726.JPG,213.25174825174824,165.02797202797203,122.27272727272727,True,231.05833333333337,186.0666666666667,144.20000000000002,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230601427.JPG,179.94405594405592,135.59440559440557,121.11188811188813,True,201.04166666666666,134.04166666666669,107.45833333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230501500.JPG,175.2937062937063,142.04895104895107,101.3986013986014,True,196.43333333333337,154.11666666666667,112.45833333333331,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230501528.JPG,169.4755244755245,121.13286713286712,99.35664335664339,True,207.25833333333333,147.25833333333335,120.8916666666667,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230301767.JPG,155.1958041958042,106.44755244755244,100.33566433566433,True,180.475,132.50000000000003,128.45000000000002,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231701652.JPG,234.49650349650352,179.10489510489512,156.60139860139859,True,240.23333333333335,179.20833333333334,151.28333333333333,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N231401198.JPG,206.5244755244755,170.19580419580421,182.08391608391608,True,220.41666666666666,187.3416666666667,198.43333333333337,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230701209.JPG,114.37762237762239,95.87412587412587,99.6223776223776,True,168.84166666666667,122.14166666666667,112.10833333333335,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N239001203.JPG,183.5594405594406,125.25874125874125,124.13286713286715,True,212.775,146.00833333333335,138.10833333333332,True,100.0,100.0
28/10/2023 16:11:47,../../dataset/valid/N230501716.JPG,167.06293706293704,129.05594405594408,115.4965034965035,True,186.39166666666665,147.71666666666667,133.35833333333332,True,100.0,100.0
